,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31
Revenue,1332.87,2641.97,3830.84,4078.01,5087.18,4802.31,3974.80,4519.40,5284.82,5188.94,5736.80,1727.92,2012.36,1349.98
Cost Of Goods Sold,1157.51,2017.83,2809.82,2939.80,3558.57,3344.66,2798.98,3113.74,3552.85,3333.32,3637.92,1538.40,1491.77,1063.46
Gross Profit,175.36,624.14,1021.02,1138.21,1528.60,1457.65,1175.82,1405.66,1731.97,1855.62,2098.89,189.52,520.58,286.52
SG&A Expenses,138.02,199.83,222.35,241.41,255.78,311.70,383.87,446.59,467.12,505.93,559.48,424.40,426.41,423.23
Operating Expenses,355.51,512.89,573.21,631.09,688.78,772.29,1077.41,1042.54,1124.36,1242.18,1351.21,1130.08,1098.03,1029.62
Operating Income,-180.15,111.25,447.81,507.12,839.82,685.36,98.42,363.12,607.61,613.45,747.68,-940.56,-577.45,-743.10
Total Non-Operating Income/Expense,-128.42,-120.85,-160.58,-111.36,-259.37,-154.94,-158.19,-288.02,-292.33,-274.31,-345.11,-516.97,-376.13,-348.83
Pre-Tax Income,-308.59,-9.60,287.20,395.72,580.45,530.42,-59.78,75.10,315.28,339.13,402.57,-1457.53,-953.58,-1091.93
Income Taxes,-0.13,0.92,-1.63,-2.94,2.44,3.04,1.03,8.18,-0.01,0.24,8.34,-2.91,2.88,5.24
Income After Taxes,-308.46,-10.52,288.83,398.66,578.01,527.39,-60.81,66.92,315.29,338.90,394.23,-1454.61,-956.46,-1097.17
Income From Continuous Operations,-209.54,8.21,325.04,430.25,578.01,527.39,-60.81,66.92,315.29,338.90,394.23,-1454.61,-956.46,-1097.17
Net Income,-308.46,-10.52,288.84,398.67,637.46,608.28,105.75,175.91,347.00,340.30,373.17,-1263.49,-811.75,-930.53
EBITDA,43.32,424.31,814.74,885.71,1241.55,1081.81,607.56,963.73,1174.21,1203.66,1419.21,-304.38,18.67,-204.11
EBIT,-180.15,111.25,447.81,507.12,839.82,685.36,98.42,363.12,607.61,613.45,747.68,-940.56,-577.45,-743.10
Basic Shares Outstanding,488.85,526.25,534.77,548.45,549.89,549.19,539.09,505.57,489.22,502.18,478.86,477.35,478.03,463.72
Shares Outstanding,488.85,526.25,534.77,552.75,554.73,553.50,542.37,508.43,493.11,505.47,481.15,477.35,478.03,463.72
Basic EPS,-0.63,-0.02,0.55,0.76,1.16,1.11,0.19,0.35,0.71,0.68,0.78,-2.65,-1.70,-2.01
