Year,Return
1976,15.60%
1977,3.00%
1978,1.40%
1979,1.90%
1980,2.70%
1981,6.30%
1982,32.60%
1983,8.40%
1984,15.15%
1985,22.11%
1986,15.26%
1987,2.76%
1988,7.89%
1989,14.53%
1990,8.96%
1991,16.00%
1992,7.40%
1993,9.75%
1994,-2.92%
1995,18.47%
1996,3.63%
1997,9.65%
1998,8.69%
1999,-0.82%
2000,11.63%
2001,8.44%
2002,10.26%
2003,4.10%
2004,4.34%
2005,2.43%
2006,4.33%
2007,6.97%
2008,5.24%
2009,5.93%
2010,6.54%
2011,7.84%
2012,4.21%
2013,-2.02%
2014,5.97%
2015,0.55%
2016,2.65%
2017,3.54%
2018,0.01%
2019,8.72%
