,0
AAPL,0.011501943787908172
MSFT,0.0030398844307726594
NVDA,0.2652619549010419
AMZN,0.22724883475447327
GOOGL,0.018723348390651925
AVGO,0.09651834607004298
GOOG,0.018723348390651925
TSLA,0.020747173313694023
LLY,0.11313942123262444
JPM,0.07800171348759168
V,0.004345178843886821
XOM,0.027000024910625836
COST,0.0027834192840229975
MA,0.008123425739316698
UNH,0.15214249796066828
NFLX,0.17527901995159836
WMT,0.12850221599177375
PG,0.01324041855878787
JNJ,0.0961980090301838
HD,0.056954472571442906
ABBV,0.15317214698197354
BAC,0.0566545134538535
KO,0.032858365622798785
CRM,0.14130289114413092
CVX,0.09280436152698365
CSCO,0.0440705415525784
ORCL,0.017654416386764224
WFC,0.015308474977603731
PM,0.14280510378111802
ABT,0.20658204952258233
MRK,0.49491169773445187
IBM,0.16186762206557914
LIN,0.05289737952584979
MCD,0.07915029601997065
ACN,0.015247749248623921
GE,0.1553152639523906
PEP,0.022894229246677982
ISRG,0.08631909031136645
TMO,0.005649395417054218
ADBE,0.020935563611286432
DIS,0.047886246558986836
T,0.005817092796964085
NOW,0.1763976602393339
GS,0.02219417570184449
VZ,0.023817373780747216
TXN,0.21475800978013398
QCOM,0.19243188235392722
AMGN,0.13111672438297073
INTU,0.027894858948454476
CAT,0.12610309210260995
PGR,0.2006179657476664
AMD,0.03632634429339739
SPGI,0.03542712549373707
BKNG,0.13399918555236986
AXP,0.09972553687695074
UBER,0.36950095068802064
BSX,0.0013516902948705973
UNP,0.00011475289490988532
PFE,0.11055935047626947
NEE,0.043132506477713356
GILD,0.3454283398035344
MS,0.024306118778752557
SYK,0.0216861038599734
BLK,0.014251851327675633
TJX,0.128445675543268
LOW,0.03517143783541937
C,0.05809302249306156
HON,0.007772622693859693
DHR,0.26688834712183596
CMCSA,0.00355107728401227
AMAT,0.033208604302598685
FI,0.16984950054507558
ADP,0.004878837240603151
VRTX,1.010758862726824
SCHW,0.043169148144161076
SBUX,0.009985097467015511
TMUS,0.31969791141854953
BMY,3.6080417502609143
MDT,0.011776323741180489
PANW,0.11731147836225554
DE,0.03876806242087367
MMC,0.018696110189017727
CB,0.058030115796223594
BA,0.3950208036894956
COP,0.019006172299947006
PLD,0.04541935212167168
ADI,0.23381863608414472
ETN,0.053964286450525215
BX,0.021668430758604335
MU,0.06227276677694477
LRCX,0.16900099855310424
ICE,0.04193256993654049
AMT,0.8413695015007379
