Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","907,718,755.92","6.00","907,718,755.92","3,850,508.00","235.74","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","802,311,089.52","5.31","802,311,089.52","2,000,676.00","401.02","United States","NASDAQ","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","738,466,724.70","4.88","738,466,724.70","6,295,539.00","117.30","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","526,120,043.08","3.48","526,120,043.08","2,525,053.00","208.36","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","386,955,585.03","2.56","386,955,585.03","589,449.00","656.47","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","273,589,951.24","1.81","273,589,951.24","1,581,262.00","173.02","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","245,464,391.00","1.62","245,464,391.00","492,406.00","498.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","234,351,576.06","1.55","234,351,576.06","1,223,257.00","191.58","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","228,441,570.45","1.51","228,441,570.45","1,305,455.00","174.99","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","208,674,417.90","1.38","208,674,417.90","747,669.00","279.10","United States","NASDAQ","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","200,231,936.96","1.32","200,231,936.96","215,368.00","929.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","190,101,594.93","1.26","190,101,594.93","755,781.00","251.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","149,493,645.72","0.99","149,493,645.72","423,879.00","352.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","127,307,834.24","0.84","127,307,834.24","1,207,396.00","105.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","124,993,431.75","0.83","124,993,431.75","119,297.00","1,047.75","United States","NASDAQ","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","122,504,419.20","0.81","122,504,419.20","219,424.00","558.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","117,765,067.68","0.78","117,765,067.68","247,416.00","475.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","114,122,274.56","0.75","114,122,274.56","115,168.00","990.92","United States","NASDAQ","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","112,103,104.32","0.74","112,103,104.32","1,167,984.00","95.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","110,883,810.57","0.73","110,883,810.57","635,037.00","174.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","107,210,599.68","0.71","107,210,599.68","649,289.00","165.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","103,128,405.50","0.68","103,128,405.50","266,930.00","386.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","100,897,810.72","0.67","100,897,810.72","476,968.00","211.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","75,812,394.91","0.50","75,812,394.91","1,792,679.00","42.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","73,125,536.64","0.48","73,125,536.64","1,043,458.00","70.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","72,641,260.09","0.48","72,641,260.09","248,797.00","291.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","69,837,698.04","0.46","69,837,698.04","463,084.00","150.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","68,601,897.00","0.45","68,601,897.00","1,072,575.00","63.96","United States","NASDAQ","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","68,355,874.44","0.45","68,355,874.44","423,099.00","161.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","66,554,002.08","0.44","66,554,002.08","897,438.00","74.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","64,136,563.40","0.42","64,136,563.40","418,810.00","153.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","64,062,416.58","0.42","64,062,416.58","465,198.00","137.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","63,513,271.74","0.42","63,513,271.74","681,546.00","93.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","61,963,807.40","0.41","61,963,807.40","246,524.00","251.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","60,505,860.25","0.40","60,505,860.25","129,217.00","468.25","United States","NASDAQ","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","59,531,543.50","0.39","59,531,543.50","193,630.00","307.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","58,751,113.74","0.39","58,751,113.74","168,699.00","348.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GE","GE AEROSPACE","Industrials","Equity","58,568,670.00","0.39","58,568,670.00","289,228.00","202.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","56,909,902.04","0.38","56,909,902.04","369,833.00","153.88","United States","NASDAQ","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","53,936,907.12","0.36","53,936,907.12","94,956.00","568.02","United States","NASDAQ","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","53,819,635.68","0.36","53,819,635.68","102,672.00","524.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","53,798,186.52","0.36","53,798,186.52","119,223.00","451.24","United States","NASDAQ","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","53,340,219.32","0.35","53,340,219.32","487,972.00","109.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","50,583,582.28","0.33","50,583,582.28","1,932,146.00","26.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","50,547,029.05","0.33","50,547,029.05","55,195.00","915.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","49,060,529.61","0.32","49,060,529.61","82,723.00","593.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","48,787,008.48","0.32","48,787,008.48","541,296.00","90.13","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","48,594,440.16","0.32","48,594,440.16","1,134,324.00","42.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","47,900,960.10","0.32","47,900,960.10","244,930.00","195.57","United States","NASDAQ","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","47,563,324.47","0.31","47,563,324.47","300,103.00","158.49","United States","NASDAQ","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","46,342,281.16","0.31","46,342,281.16","357,469.00","129.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","45,727,586.79","0.30","45,727,586.79","144,447.00","316.57","United States","NASDAQ","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","45,354,874.48","0.30","45,354,874.48","73,448.00","617.51","United States","NASDAQ","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","44,490,110.13","0.29","44,490,110.13","131,437.00","338.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","44,162,952.24","0.29","44,162,952.24","156,684.00","281.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","44,015,383.08","0.29","44,015,383.08","432,924.00","101.67","United States","NASDAQ","USD","1.00","USD","-"
